"dwal","p","u:0","u:1","u:2","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
2.789273399e-04,9.695179202e+04,-1.240338857e+00,-2.887803669e-02,0.000000000e+00,-1.179561575e+00,-2.680119707e-02,0.000000000e+00,2.173420000e-01,1.117440127e-01,0.000000000e+00
3.078234950e-04,9.695179141e+04,-1.348028829e+00,-4.000668412e-02,0.000000000e+00,-1.282374669e+00,-3.722678816e-02,0.000000000e+00,2.173420000e-01,1.117152021e-01,0.000000000e+00
3.562743865e-04,9.695179053e+04,-1.436230448e+00,-3.963504995e-02,0.000000000e+00,-1.368090248e+00,-3.700637933e-02,0.000000000e+00,2.173420000e-01,1.116667247e-01,0.000000000e+00
3.984061737e-04,9.695178976e+04,-1.512928558e+00,-3.931188537e-02,0.000000000e+00,-1.442626556e+00,-3.681471685e-02,0.000000000e+00,2.173420000e-01,1.116245699e-01,0.000000000e+00
4.468357902e-04,9.695178888e+04,-1.601091447e+00,-3.894041438e-02,0.000000000e+00,-1.528304498e+00,-3.659440480e-02,0.000000000e+00,2.173420000e-01,1.115761138e-01,0.000000000e+00
4.890652100e-04,9.695178830e+04,-1.692790707e+00,-4.800522355e-02,0.000000000e+00,-1.618453973e+00,-4.567203386e-02,0.000000000e+00,2.173420000e-01,1.115340096e-01,0.000000000e+00
5.595944212e-04,9.695178734e+04,-1.749527305e+00,-4.695046972e-02,0.000000000e+00,-1.674214608e+00,-4.483891731e-02,0.000000000e+00,2.173420000e-01,1.114634419e-01,0.000000000e+00
6.212036681e-04,9.695178650e+04,-1.799088317e+00,-4.602911262e-02,0.000000000e+00,-1.722923088e+00,-4.411116660e-02,0.000000000e+00,2.173420000e-01,1.114017990e-01,0.000000000e+00
6.916875530e-04,9.695178555e+04,-1.855788453e+00,-4.497503664e-02,0.000000000e+00,-1.778647888e+00,-4.327858547e-02,0.000000000e+00,2.173420000e-01,1.113312767e-01,0.000000000e+00
7.534540322e-04,9.695178432e+04,-1.916473054e+00,-5.185320322e-02,0.000000000e+00,-1.839383147e+00,-4.987023095e-02,0.000000000e+00,2.173420000e-01,1.112696938e-01,0.000000000e+00
8.560212028e-04,9.695178218e+04,-1.945239986e+00,-5.027943179e-02,0.000000000e+00,-1.868138643e+00,-4.829616736e-02,0.000000000e+00,2.173420000e-01,1.111670708e-01,0.000000000e+00
9.462124692e-04,9.695178029e+04,-1.970535858e+00,-4.889555391e-02,0.000000000e+00,-1.893424459e+00,-4.691203258e-02,0.000000000e+00,2.173420000e-01,1.110768304e-01,0.000000000e+00
1.048683019e-03,9.695177814e+04,-1.999275690e+00,-4.732326501e-02,0.000000000e+00,-1.922152867e+00,-4.533945179e-02,0.000000000e+00,2.173420000e-01,1.109743041e-01,0.000000000e+00
1.139135261e-03,9.695177503e+04,-2.028968782e+00,-5.139143022e-02,0.000000000e+00,-1.952036344e+00,-4.933554957e-02,0.000000000e+00,2.173420000e-01,1.108841218e-01,0.000000000e+00
1.288076513e-03,9.695177114e+04,-2.032989866e+00,-4.874841744e-02,0.000000000e+00,-1.955900612e+00,-4.684276594e-02,0.000000000e+00,2.173420000e-01,1.107350997e-01,0.000000000e+00
1.420323844e-03,9.695176770e+04,-2.036560251e+00,-4.640164393e-02,0.000000000e+00,-1.959331757e+00,-4.462938330e-02,0.000000000e+00,2.173420000e-01,1.106027805e-01,0.000000000e+00
1.569058970e-03,9.695176382e+04,-2.040575770e+00,-4.376228893e-02,0.000000000e+00,-1.963190678e+00,-4.214004953e-02,0.000000000e+00,2.173420000e-01,1.104539647e-01,0.000000000e+00
1.701754567e-03,9.695175912e+04,-2.046257710e+00,-4.552946468e-02,0.000000000e+00,-1.969089012e+00,-4.402219138e-02,0.000000000e+00,2.173420000e-01,1.103216673e-01,0.000000000e+00
1.917568831e-03,9.695175450e+04,-2.026640212e+00,-4.183746277e-02,0.000000000e+00,-1.948852771e+00,-4.025375050e-02,0.000000000e+00,2.173420000e-01,1.101057365e-01,0.000000000e+00
